,Made Donation in March 2007
659,0.4495958297492063
276,0.16118111440192665
263,0.18969188476216073
303,0.23243529134847382
83,0.4860720743319405
500,0.5132007528026438
530,0.20863095205367738
244,0.11144523342717884
249,0.09464432241634654
728,0.11581214931701972
129,0.1235066620621479
534,0.141358440094253
317,0.3458724637284605
401,0.18969188476216073
696,0.2851786795418476
192,0.1314578253354458
176,0.17332877502718017
571,0.3682692117515595
139,0.15103692815278655
423,0.3051088301544919
563,0.48495159507411983
56,0.4245297448899774
528,0.39866194327277377
101,0.18969188476216073
467,0.27149377057088536
382,0.36633789603143685
466,0.27295649414627493
294,0.11144523342717884
512,0.20080857313228098
659,0.4495958297492063
389,0.40826043049034083
487,0.1253447724266572
701,0.20080263706119672
419,0.373580253577795
536,0.19013727595397692
240,0.1764442053789893
508,0.2561447147458772
515,0.11144523342717884
283,0.4245297448899774
650,0.18969188476216073
65,0.2697901764124337
228,0.16355144290624296
741,0.12652913642659466
297,0.4367740869909131
464,0.11209058737349281
63,0.20080263706119672
231,0.29174840986022804
28,0.11209058737349281
248,0.11144523342717884
357,0.15800706802651507
300,0.4285989116479236
726,0.41043602078990366
680,0.13493482651516714
520,0.4245297448899774
254,0.09779459091784176
582,0.15200439642882826
143,0.3995913857073331
98,0.3998442891615728
1,0.30389755459662493
221,0.42222381898669303
352,0.18969188476216073
64,0.1134657034056276
138,0.2328069102025379
745,0.41087704383541324
64,0.1134657034056276
688,0.10197960169616514
623,0.13942510864225302
289,0.150612076024041
174,0.3589017522231657
690,0.18969188476216073
105,0.16526241816762785
427,0.12561730908897584
48,0.12135645100980945
14,0.18969188476216073
657,0.10754824195647351
301,0.141358440094253
455,0.11297489991134867
579,0.38944165267328723
722,0.1236903533303239
98,0.3998442891615728
491,0.12135645100980945
303,0.23243529134847382
466,0.27295649414627493
65,0.2697901764124337
300,0.4285989116479236
9,0.10436012067191391
622,0.1314578253354458
323,0.10259449181949258
289,0.150612076024041
568,0.30449177160909113
290,0.18969188476216073
156,0.17964849031960553
464,0.11209058737349281
426,0.11093005447991128
306,0.17484181242930888
4,0.23243529134847382
12,0.38510366574898675
187,0.18764417598757382
406,0.13249762544840638
96,0.20863095205367738
509,0.20080263706119672
733,0.1361211081548045
548,0.10461280788351303
478,0.2370008209944829
501,0.1230103732018399
127,0.31682434309538665
199,0.18593991073731764
299,0.48901377133935925
162,0.18969188476216073
235,0.11579887239981933
23,0.1285321780129385
473,0.18969188476216073
487,0.1253447724266572
683,0.437598545488952
303,0.23243529134847382
309,0.1011372489976915
569,0.09619807808155045
34,0.4320195196340057
686,0.4945888207434237
84,0.25673893175834345
733,0.1361211081548045
537,0.44316169058962956
181,0.14410915078062175
453,0.41662200824430323
67,0.4495958297492063
161,0.41087704383541324
307,0.42197626783268355
703,0.13845685281621062
181,0.14410915078062175
246,0.12093798850650991
316,0.401302366357219
278,0.1314578253354458
346,0.13170801461382622
545,0.18969188476216073
419,0.373580253577795
694,0.20863095205367738
622,0.1314578253354458
663,0.11619906072277353
262,0.491567248396653
461,0.4086014028097722
373,0.4254002222783313
233,0.18969188476216073
466,0.27295649414627493
207,0.3995913857073331
263,0.18969188476216073
16,0.09619807808155045
513,0.1011372489976915
449,0.38259798979439436
429,0.09406236725899397
701,0.20080263706119672
632,0.10028831851640806
529,0.4833751285335262
245,0.1975458746488009
344,0.16355144290624296
353,0.11525454384701622
241,0.27644075588745987
633,0.10491285828640169
624,0.20080263706119672
726,0.41043602078990366
189,0.1314578253354458
138,0.2328069102025379
402,0.11144523342717884
511,0.42703542084456986
590,0.2670982100800778
334,0.25330828880217376
447,0.10554927863349622
119,0.27295649414627493
389,0.40826043049034083
644,0.18969188476216073
423,0.3051088301544919
131,0.09619807808155045
405,0.12135645100980945
82,0.18969188476216073
643,0.4254002222783313
156,0.17964849031960553
617,0.10461280788351303
574,0.28369992949582296
272,0.4086014028097722
613,0.11063450167028918
545,0.18969188476216073
685,0.11144523342717884
570,0.16526241816762785
537,0.44316169058962956
691,0.10491285828640169
85,0.42812395205310394
483,0.12093798850650991
455,0.11297489991134867
93,0.1314578253354458
744,0.20080263706119672
33,0.12093798850650991
321,0.452620353998374
523,0.17882619475395725
426,0.11093005447991128
196,0.10996208699973628
301,0.141358440094253
103,0.10491285828640169
224,0.10221527427506004
454,0.16669588248948433
585,0.09867890345569759
154,0.40078842782456703
